"","name","player_id","team_2021","Position","Age","Game_played","Game_started","MP","FG","FGA","FGpct","X3P","X3PA","X3Ppct","X2P","X2PA","X2Ppct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TSpct","X3PAr","FTr","ORBpct","DRBpct","TRBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WSper48","OBPM","DBPM","BPM","VORP","salary","team_2022","Weight","Height"
"191","Josh Christopher","chrisjo01","HOU","SG",20,74,2,18,3,6.8,0.448,0.8,2.6,0.296,2.3,4.2,0.54,1.1,1.5,0.735,0.7,1.8,2.5,2,0.9,0.2,1.5,1.3,7.9,12.2,0.534,0.378,0.226,4.3,11.1,7.7,17.3,2.3,0.9,17.2,21.1,-0.4,0.7,0.3,0.01,-2.2,-1.3,-3.5,-0.5,2372160,"HOU",215,75
"192","Josh Giddey","giddejo01","OKC","SF",19,54,54,31.5,5.2,12.4,0.419,1,3.9,0.263,4.2,8.5,0.492,1,1.5,0.709,1.8,6,7.8,6.4,0.9,0.4,3.2,1.6,12.5,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,0.4,0.01,-1.2,0.3,-0.9,0.5,6287400,"OKC",205,80
"193","Josh Green","greenjo02","DAL","SG",21,67,3,15.5,1.9,3.8,0.508,0.4,1.2,0.359,1.5,2.7,0.573,0.5,0.7,0.689,0.8,1.6,2.4,1.2,0.7,0.2,0.7,1.7,4.8,11.9,0.578,0.305,0.176,5.6,11.7,8.6,11,2.2,1.2,13.8,13.9,1,1.4,2.4,0.111,-2.4,1.4,-1,0.3,3098400,"DAL",200,77
"194","Josh Hart","hartjo01","TOT","SG",26,54,53,33.2,5.3,10.5,0.504,1.4,3.9,0.343,4,6.6,0.601,3,3.9,0.758,1.1,6,7.2,4.1,1.1,0.2,2.1,2.8,14.9,16.1,0.61,0.374,0.371,3.7,20.7,12,18.9,1.7,0.7,14.7,18.6,2.8,1.5,4.4,0.117,0.5,0.5,0.9,1.3,12960000,"POR",215,77
"195","Josh Okogie","okogijo01","MIN","SG",23,49,6,10.5,0.9,2.1,0.404,0.3,1,0.298,0.6,1.2,0.491,0.7,1,0.686,0.6,0.8,1.4,0.5,0.5,0.2,0.5,1.1,2.7,9,0.526,0.452,0.49,5.9,8.7,7.3,6.2,2.4,2.2,15.4,12.1,0.1,0.5,0.7,0.062,-3.7,0.9,-2.7,-0.1,1968175,"PHO",213,76
"196","Josh Richardson","richajo01","TOT","SG",28,65,7,24.6,3.6,8.2,0.438,1.6,3.8,0.415,2,4.4,0.458,1.5,1.7,0.889,0.6,2.2,2.8,1.8,0.9,0.4,1,1.8,10.2,12.8,0.573,0.461,0.202,2.8,9.4,6.2,10.1,1.7,1.6,10.2,17.6,1.6,2,3.5,0.106,-0.6,0.7,0.1,0.9,12196094,"SAS",200,77
"197","Joshua Primo","primojo01","SAS","SF",19,50,16,19.3,2,5.4,0.374,0.8,2.7,0.307,1.2,2.7,0.444,0.9,1.2,0.746,0.6,1.6,2.3,1.6,0.4,0.5,1.1,1.6,5.8,7.1,0.487,0.507,0.219,3.5,8.9,6.1,10.6,1,2,16.1,15.4,-0.6,0.6,0,0.001,-3.8,-1.1,-5,-0.7,4144320,"SAS",189,76
"198","Jrue Holiday","holidjr01","MIL","PG",31,67,64,32.9,7.1,14.2,0.501,2,4.8,0.411,5.2,9.4,0.547,2,2.7,0.761,1,3.5,4.5,6.8,1.6,0.4,2.7,2,18.3,19.8,0.593,0.336,0.189,3.4,10.9,7.2,31.8,2.4,1.3,15,23.5,4.5,2.4,6.9,0.15,2.9,0.3,3.2,2.9,32393333,"MIL",205,75
"199","JT Thor","thorjt01","CHO","PF",19,33,0,7.9,0.7,1.7,0.436,0.2,0.8,0.259,0.5,0.8,0.607,0.4,0.6,0.6,0.3,1,1.3,0.6,0.2,0.3,0.3,0.8,2,9.7,0.525,0.491,0.364,4.4,13.1,8.7,9.2,1.5,4,13.6,12,0.1,0.2,0.3,0.058,-3.1,0.1,-3,-0.1,1563518,"CHO",203,81
"200","Juan Toscano-Anderson","toscaju01","GSW","SF",28,73,6,13.6,1.6,3.2,0.489,0.4,1.2,0.322,1.2,2,0.588,0.5,1,0.571,0.4,2,2.4,1.7,0.7,0.2,0.9,1.6,4.1,11,0.561,0.37,0.298,3.2,15.8,9.7,17.6,2.4,1.6,20.4,14.7,0.3,1.8,2,0.098,-3.3,2.4,-0.8,0.3,1902133,"LAL",209,78
"201","Julius Randle","randlju01","NYK","PF",27,72,72,35.3,7.1,17.3,0.411,1.7,5.4,0.308,5.4,11.9,0.458,4.2,5.6,0.756,1.7,8.2,9.9,5.1,0.7,0.5,3.4,2.8,20.1,15.7,0.509,0.313,0.322,5.2,25.5,15.1,25.1,1,1.5,14.7,28.7,-0.3,3.4,3.1,0.059,0.4,0.2,0.5,1.6,23760000,"NYK",250,80
"202","Justin Holiday","holidju01","TOT","SG",32,74,65,27.8,3.5,8.9,0.394,2.4,6.5,0.367,1.1,2.4,0.467,0.7,0.8,0.806,0.4,2.2,2.6,1.7,0.8,0.4,0.9,2.1,10.1,9.5,0.543,0.728,0.094,1.5,8.8,5.1,8.6,1.3,1.4,9.2,15.8,0.8,0.6,1.4,0.033,-1.4,-0.8,-2.2,-0.1,6292440,"ATL",180,78
"203","Justise Winslow","winslju01","TOT","PF",25,48,11,16.1,2.3,5.4,0.428,0.3,1.4,0.227,2,4,0.497,0.8,1.4,0.591,1,3.2,4.2,1.8,0.7,0.5,1,1.4,5.7,13.1,0.479,0.257,0.257,7,20.9,14,16.1,2.2,2.9,14.6,18.9,-0.3,1.1,0.8,0.048,-2.7,1,-1.7,0.1,4097561,"POR",222,78
"204","Jusuf Nurkić","nurkiju01","POR","C",27,56,56,28.2,5.7,10.7,0.535,0.3,1,0.268,5.5,9.7,0.563,3.3,4.8,0.69,3,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15,20,0.586,0.093,0.447,11.2,32.6,21.5,16.6,1.9,2.1,16.6,23.6,2,1.7,3.6,0.11,0.1,0.2,0.3,0.9,15625000,"POR",290,83
"205","Juwan Morgan","morgaju01","TOT","PF",24,2,0,15.5,1,1.5,0.667,0.5,1,0.5,0.5,0.5,1,0,0,0,1,1,2,0.5,0,0,0,1.5,2.5,8.3,0.833,0.667,0,6.6,7.4,7,4.2,0,0,0,4.1,0.1,0,0.1,0.124,-3.3,-3.9,-7.1,0,576230,"IND",232,79
"206","Kai Jones","joneska01","CHO","C",21,21,0,3,0.4,0.7,0.643,0,0.1,0.5,0.4,0.6,0.667,0.1,0.4,0.375,0.1,0.4,0.5,0.2,0,0.1,0.3,0.4,1,9.2,0.628,0.143,0.571,5,13.7,9.2,8.6,0.8,3,25.5,15.9,0,0,0,0.009,-5.2,-1.4,-6.6,-0.1,2909160,"CHO",221,82
"207","Karl-Anthony Towns","townska01","MIN","C",26,74,74,33.5,8.7,16.4,0.529,2,4.9,0.41,6.6,11.5,0.58,5.2,6.3,0.822,2.6,7.2,9.8,3.6,1,1.1,3.1,3.6,24.6,24.1,0.64,0.301,0.385,8.2,23.6,15.7,18,1.4,3.2,13.7,27.8,7.1,3.2,10.3,0.199,4.5,0.5,5,4.4,33833400,"MIN",248,83
"208","Keita Bates-Diop","bateske01","SAS","SF",26,59,14,16.2,2.3,4.5,0.517,0.3,0.9,0.309,2,3.5,0.572,0.8,1,0.754,1.1,2.9,3.9,0.7,0.5,0.2,0.8,1,5.7,12.4,0.578,0.209,0.232,6.8,18.7,12.7,5.7,1.4,1.2,13.4,14.8,0.6,1,1.6,0.08,-2.1,-0.5,-2.6,-0.1,1878720,"SAS",229,80
"209","Keldon Johnson","johnske04","SAS","SF",22,75,74,31.9,6.3,13.5,0.466,2.1,5.3,0.398,4.2,8.2,0.51,2.4,3.1,0.756,1.1,5,6.1,2.1,0.8,0.2,1.2,2,17,15.2,0.574,0.395,0.231,3.5,16.7,10,9.5,1.2,0.5,7.6,21.3,2.9,2,4.9,0.098,0.7,-1.2,-0.5,0.9,3873025,"SAS",220,78
"210","Kelly Olynyk","olynyke01","DET","C",30,40,1,19.1,3.2,7.2,0.448,1,3,0.336,2.2,4.2,0.527,1.7,2.2,0.775,1.4,3.1,4.4,2.8,0.8,0.5,1.5,2.5,9.1,16.7,0.561,0.416,0.311,7.3,18.3,12.5,23.3,2,2.2,15.1,21.5,0.8,0.8,1.6,0.104,0.5,1,1.6,0.7,12804878,"DET",240,83
"211","Kelly Oubre Jr.","oubreke01","CHO","SF",26,76,13,26.3,5.4,12.3,0.44,2.5,7.3,0.345,2.9,5,0.578,1.7,2.5,0.667,1,2.9,4,1.1,1,0.4,0.9,2.5,15,14.9,0.56,0.593,0.203,4.1,12,8,6.2,1.8,1.5,6.2,23,1.8,1.4,3.3,0.079,0.2,-1.6,-1.4,0.3,12600000,"CHO",203,78
"212","Kemba Walker","walkeke02","NYK","PG",31,37,37,25.6,4,10,0.403,2,5.4,0.367,2.1,4.6,0.444,1.6,1.9,0.845,0.4,2.6,3,3.5,0.7,0.2,1.3,1,11.6,13.9,0.537,0.538,0.192,1.6,11.2,6.3,22.2,1.4,0.7,10.7,20.8,1,0.9,1.8,0.093,0.7,-0.2,0.4,0.6,9165471,"OKC",184,72
"213","Kenrich Williams","willike04","OKC","SF",27,49,0,21.9,3,6.5,0.461,0.8,2.5,0.339,2.1,4,0.536,0.6,1.1,0.545,1.5,3,4.5,2.2,0.9,0.2,0.9,1.7,7.4,13.3,0.532,0.382,0.174,7.1,14.1,10.5,15.3,2,0.9,11.9,15.6,0.8,1,1.8,0.081,-1.3,1.1,-0.3,0.5,2e+06,"OKC",210,78
"214","Kentavious Caldwell-Pope","caldwke01","WAS","SG",28,77,77,30.2,4.7,10.8,0.435,2.1,5.3,0.39,2.6,5.5,0.48,1.8,2,0.89,0.5,2.9,3.4,1.9,1.1,0.3,1.3,1.8,13.2,12.6,0.568,0.492,0.186,2,10.3,6.2,9.1,1.8,0.9,9.8,19,1.4,1.4,2.8,0.058,-0.9,-0.6,-1.5,0.3,14004703,"DEN",204,77
"215","Kenyon Martin Jr.","martike04","HOU","SF",21,79,2,21,3.5,6.6,0.533,0.8,2.1,0.357,2.8,4.5,0.617,1,1.6,0.634,1,2.7,3.8,1.3,0.4,0.5,0.8,1.4,8.8,14.3,0.603,0.321,0.235,5.3,14.5,9.9,9.4,1,2.2,9.4,16.3,2.3,0.6,2.9,0.084,0,-1.2,-1.2,0.4,1782621,"HOU",215,77
"216","Keon Johnson","johnske07","TOT","SG",19,37,12,18.8,2.6,7.4,0.353,0.9,2.7,0.34,1.7,4.6,0.36,1.1,1.4,0.804,0.6,1.5,2.2,2.1,0.8,0.3,1.2,1.9,7.2,8.7,0.453,0.368,0.188,3.7,9.1,6.3,16.3,2,1.7,13.5,21.2,-0.8,0.4,-0.5,-0.031,-4,-2,-5.9,-0.7,2681040,"POR",185,76
"217","Kessler Edwards","edwarke02","BRK","SF",21,48,23,20.6,2.3,5.6,0.412,1,2.8,0.353,1.3,2.7,0.473,0.3,0.4,0.842,0.9,2.7,3.6,0.6,0.6,0.5,0.9,1.8,5.9,8.3,0.516,0.509,0.071,5,13.8,9.5,4.1,1.4,2.2,13.2,13.8,-0.2,0.9,0.6,0.031,-3.1,-0.8,-3.8,-0.5,1637966,"BRK",203,79
"218","Kevin Durant","duranke01","BRK","PF",33,55,55,37.2,10.5,20.3,0.518,2.1,5.5,0.383,8.4,14.8,0.568,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,25.6,0.634,0.269,0.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,6.4,2,8.4,0.198,6.4,0.7,7.2,4.8,44119845,"BRK",240,82
"219","Kevin Huerter","huertke01","ATL","SF",23,74,60,29.6,4.7,10.3,0.454,2.2,5.6,0.389,2.5,4.7,0.53,0.6,0.7,0.808,0.4,3,3.4,2.7,0.7,0.4,1.2,2.5,12.1,11.9,0.57,0.541,0.068,1.6,11,6.4,13.2,1.2,1.1,10.4,17.5,1.8,1,2.8,0.062,-0.5,-0.7,-1.2,0.4,14508929,"SAC",198,79
"220","Kevin Love","loveke01","CLE","C",33,74,4,22.5,4.4,10.3,0.43,2.5,6.4,0.392,1.9,3.8,0.493,2.2,2.7,0.838,1.2,6.1,7.2,2.2,0.4,0.2,1.3,1.4,13.6,19.6,0.594,0.627,0.26,5.9,29.2,17.8,15.3,0.8,1,10.4,25.1,3.2,2.5,5.7,0.164,4.4,0.1,4.5,2.7,28942830,"CLE",251,80
"221","Kevin Porter Jr.","porteke02","HOU","PG",21,61,61,31.3,5.5,13.2,0.415,2.5,6.8,0.375,3,6.5,0.456,2,3.2,0.642,0.7,3.7,4.4,6.2,1.1,0.4,3.1,2.6,15.6,13.5,0.531,0.511,0.239,2.5,13,7.7,30.7,1.7,1,17.7,24.1,0,0.8,0.8,0.021,-0.1,-1.6,-1.6,0.2,3217631,"HOU",203,76
"222","Kevon Looney","looneke01","GSW","C",25,82,80,21.1,2.5,4.4,0.571,0,0,0,2.5,4.4,0.573,0.9,1.5,0.6,2.5,4.7,7.3,2,0.6,0.6,0.8,2.6,6,15.7,0.586,0.003,0.343,13.5,23.8,18.8,13.2,1.4,2.9,13.8,12.2,3.5,3.2,6.8,0.187,-0.9,1.7,0.9,1.3,7870370,"GSW",222,81
"223","Khem Birch","birchkh01","TOR","C",29,55,28,18,1.8,3.6,0.485,0,0.3,0,1.8,3.4,0.522,1,1.3,0.746,2.2,2.1,4.3,1,0.5,0.5,0.5,1.9,4.5,13.2,0.534,0.07,0.355,12.7,13.5,13.1,7.6,1.5,2.6,11.1,11.2,1.5,1.1,2.6,0.126,-1.7,0.4,-1.3,0.2,6667750,"TOR",233,81
"224","Khris Middleton","middlkh01","MIL","SF",30,66,66,32.4,6.8,15.5,0.443,2.5,6.6,0.373,4.4,8.9,0.494,3.9,4.4,0.89,0.6,4.8,5.4,5.4,1.2,0.3,2.9,2.4,20.1,18.1,0.577,0.425,0.285,2.1,15.3,8.8,25.5,1.7,0.8,14.2,26.7,3.2,2.2,5.3,0.119,1.9,-0.3,1.6,1.9,37948276,"MIL",222,79
"225","Killian Hayes","hayeski01","DET","PG",20,66,40,25,2.7,7,0.383,0.7,2.5,0.263,2,4.4,0.452,0.9,1.1,0.77,0.5,2.6,3.2,4.2,1.2,0.5,1.7,2.8,6.9,9.3,0.461,0.364,0.161,2.2,12,6.9,24.6,2.3,1.9,18.4,15.7,-1,1.5,0.5,0.014,-4.3,0.8,-3.5,-0.6,5837760,"DET",195,77
"226","Killian Tillie","tilliki02","MEM","C",23,36,3,12.8,1.2,3.5,0.339,0.8,2.4,0.314,0.4,1.1,0.39,0.1,0.2,0.625,0.6,1.1,1.7,0.6,0.6,0.4,0.4,1.6,3.3,7.6,0.452,0.677,0.063,4.7,9.1,6.8,5.9,2.4,2.9,9.1,12.8,-0.1,0.6,0.6,0.058,-3.8,1.1,-2.7,-0.1,1901625,"MEM",220,81
"227","Kira Lewis Jr.","lewiski01","NOP","PG",20,24,0,14.2,2.5,6.1,0.404,0.5,2.4,0.224,1.9,3.7,0.523,0.4,0.5,0.833,0.4,1.3,1.6,2,0.5,0,1.1,0.7,5.9,9.8,0.466,0.397,0.082,2.9,10,6.3,21.7,1.6,0.3,14.7,22.3,-0.3,0.2,-0.1,-0.017,-2.8,-1.2,-4,-0.2,4004280,"NOP",170,73
"228","Klay Thompson","thompkl01","GSW","SG",31,32,32,29.4,7.7,17.9,0.429,3.6,9.3,0.385,4.1,8.7,0.477,1.4,1.6,0.902,0.5,3.4,3.9,2.8,0.5,0.5,1.3,1.7,20.4,16.7,0.547,0.517,0.089,1.8,12.4,7.3,16.1,0.8,1.7,6.7,29.6,0.6,1.2,1.8,0.091,2.6,-1.6,1.1,0.7,40600080,"GSW",220,78
"229","Kristaps Porzingis","porzikr01","WAS","PF",26,51,51,29,6.9,15,0.459,1.5,4.9,0.31,5.4,10.1,0.532,4.9,5.6,0.867,2,6.1,8.1,2.3,0.7,1.6,1.6,2.7,20.2,23.7,0.577,0.329,0.373,7.7,23.1,15.4,13.7,1.3,5,8.3,29.5,3.2,2.4,5.6,0.18,3.3,0.6,3.9,2.2,33833400,"WAS",240,87
"230","Kyle Anderson","anderky01","MEM","PF",28,69,11,21.5,3,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,1,1.5,0.638,1,4.3,5.3,2.7,1.1,0.7,1,1.6,7.6,14.4,0.506,0.232,0.224,4.8,21.6,13,16.2,2.5,2.7,12.1,16.2,1,2.5,3.5,0.113,-0.9,2.1,1.2,1.2,8780488,"MIN",230,81
"231","Kyle Kuzma","kuzmaky01","WAS","PF",26,66,66,33.4,6.4,14.2,0.452,1.9,5.7,0.341,4.5,8.5,0.526,2.4,3.3,0.712,1.1,7.4,8.5,3.5,0.6,0.9,2.6,1.9,17.1,15.2,0.547,0.401,0.234,3.6,24.3,14.1,16.3,0.9,2.2,14.1,24.2,0,2,2,0.044,0.2,-0.4,-0.2,1,1.3e+07,"WAS",221,81
"232","Kyle Lowry","lowryky01","MIA","PG",35,63,63,33.9,4.4,10,0.44,2.3,6.1,0.377,2.1,3.9,0.539,2.3,2.8,0.851,0.5,4,4.5,7.5,1.1,0.3,2.7,2.8,13.4,15,0.6,0.609,0.278,1.8,13,7.5,32.3,1.6,0.8,19.3,18.2,3.7,2.7,6.4,0.143,1.1,0.8,2,2.1,28333334,"MIA",196,72
"233","Kyrie Irving","irvinky01","BRK","PG",29,29,29,37.6,10,21.2,0.469,3.4,8.2,0.418,6.5,13,0.501,4.1,4.4,0.915,0.6,3.8,4.4,5.8,1.4,0.6,2.5,2.8,27.4,21.4,0.592,0.388,0.209,1.6,10.8,6.3,25.2,1.8,1.4,9.8,29.4,2.4,0.9,3.3,0.147,4.2,-1.2,3,1.4,36503300,"BRK",195,74
"234","Lamar Stevens","stevela01","CLE","PF",24,63,13,16.1,2.5,5.1,0.489,0.3,1,0.277,2.2,4,0.543,0.8,1.2,0.707,0.7,1.9,2.6,0.7,0.5,0.3,0.7,1.7,6.1,11.3,0.544,0.204,0.235,5.2,12.5,8.9,6.5,1.5,1.6,10.4,17.1,0.4,1.2,1.6,0.078,-3.2,0.3,-2.9,-0.2,1782621,"CLE",230,78
"235","LaMelo Ball","ballla01","CHO","PG",20,75,75,32.3,7.2,16.7,0.429,2.9,7.5,0.389,4.2,9.2,0.462,2.8,3.2,0.872,1.4,5.2,6.7,7.6,1.6,0.4,3.3,3.2,20.1,19.7,0.554,0.451,0.194,4.7,17.4,11,35.7,2.4,1.2,15.3,28.2,3.4,2.5,5.8,0.116,3.3,0.1,3.4,3.3,8623920,"CHO",180,79
"236","Landry Shamet","shamela01","PHO","SG",24,69,14,20.8,2.8,7,0.394,1.8,4.8,0.368,1,2.2,0.45,1,1.2,0.84,0.2,1.6,1.8,1.6,0.4,0.1,0.6,1.3,8.3,10.2,0.55,0.689,0.167,1.2,8,4.7,9.7,0.9,0.6,7.3,16.8,1.1,1.5,2.6,0.085,-0.9,-0.4,-1.2,0.3,9598214,"PHO",190,76
"237","Larry Nance Jr.","nancela02","TOT","PF",29,46,11,22.6,2.8,5.4,0.522,0.5,1.5,0.329,2.3,3.8,0.599,0.9,1.2,0.702,1.6,3.8,5.4,1.8,0.9,0.4,0.8,1.8,7,14.4,0.59,0.283,0.231,7.4,19.3,13.1,11.4,2,1.9,12,12.8,1.5,0.8,2.3,0.104,-0.4,0.3,-0.1,0.5,9672727,"NOP",245,79
"238","Lauri Markkanen","markkla01","CLE","SF",24,61,61,30.8,5.1,11.5,0.445,2.2,6.2,0.358,2.9,5.3,0.548,2.3,2.6,0.868,1,4.7,5.7,1.3,0.7,0.5,0.9,2.1,14.8,14.7,0.582,0.541,0.226,3.5,16.5,10.2,6.6,1.2,1.4,6.5,19.5,2.7,2.3,5,0.127,0.4,-0.1,0.4,1.1,16475454,"CLE",240,83
"239","Leandro Bolmaro","bolmale01","MIN","SF",21,35,2,6.9,0.5,1.5,0.315,0.1,0.5,0.278,0.3,1,0.333,0.3,0.4,0.846,0.5,0.8,1.2,0.6,0.2,0,0.4,0.7,1.4,5.4,0.419,0.333,0.241,6.9,12.3,9.6,11,1.2,0,17.9,12.6,-0.1,0.2,0,0.004,-5.1,-0.7,-5.8,-0.2,2471160,"UTA",200,78
"240","LeBron James","jamesle01","LAL","PF",37,56,56,37.2,11.4,21.8,0.524,2.9,8,0.359,8.6,13.8,0.62,4.5,6,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,5.2,2.3,7.5,0.172,6.9,0.8,7.7,5.1,44474988,"LAL",250,81
"241","Lindell Wigginton","wiggili01","MIL","PG",23,19,0,10.5,1.4,3.2,0.426,0.5,1.4,0.346,0.9,1.8,0.486,1,1.8,0.543,0.2,1.2,1.3,1.2,0.3,0.1,0.6,0.9,4.2,10.2,0.524,0.426,0.574,1.6,11.5,6.7,15.7,1.2,0.5,13.6,19,0,0.1,0.2,0.044,-3.2,-1.9,-5,-0.2,1637966,"MIL",189,73
"242","Lonnie Walker IV","walkelo01","SAS","SG",23,70,6,23,4.4,10.9,0.407,1.6,5,0.314,2.9,5.9,0.487,1.7,2.1,0.784,0.3,2.3,2.6,2.2,0.6,0.3,1,1.4,12.1,12.3,0.512,0.462,0.194,1.2,10.7,5.9,13.4,1.3,1,7.9,23.6,0.1,1.1,1.2,0.037,-1.2,-1.3,-2.5,-0.2,6479000,"LAL",204,76
"243","Lonzo Ball","balllo01","CHI","PG",24,35,35,34.6,4.6,10.9,0.423,3.1,7.4,0.423,1.5,3.5,0.423,0.6,0.8,0.75,1,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13,14.5,0.575,0.679,0.073,3.3,14.3,8.8,20,2.6,2.2,17.2,17.4,0.8,1.4,2.2,0.088,0.9,1.6,2.5,1.4,19534884,"CHI",190,78
"244","Luguentz Dort","dortlu01","OKC","SG",22,51,51,32.6,5.7,14.2,0.404,2.5,7.7,0.332,3.2,6.6,0.487,3.2,3.7,0.843,0.7,3.4,4.2,1.7,0.9,0.4,1.7,2.9,17.2,12.3,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1,9.8,23.3,0.2,1.1,1.4,0.04,-1.5,-0.7,-2.3,-0.1,15277778,"OKC",215,75
"245","Luka Dončić","doncilu01","DAL","PG",22,65,65,35.4,9.9,21.6,0.457,3.1,8.8,0.353,6.8,12.8,0.528,5.6,7.5,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2,28.4,25.1,0.571,0.406,0.349,2.7,26,14.3,46,1.6,1.4,15.3,37.4,3.8,3.8,7.6,0.159,6.4,1.8,8.2,5.9,35700000,"DAL",230,79
"246","Luke Kennard","kennalu01","LAC","SG",25,70,13,27.4,4.1,9.1,0.449,2.7,6,0.449,1.4,3.1,0.449,1,1.1,0.896,0.3,3,3.3,2.1,0.6,0.1,0.9,1.4,11.9,13.3,0.619,0.662,0.121,1.1,11.2,6.3,11.2,1.1,0.3,8.2,16.8,2.8,1.7,4.5,0.113,0.8,-0.3,0.5,1.2,13745455,"LAC",206,77
"247","Luke Kornet","kornelu01","TOT","C",26,15,0,6.9,0.9,1.8,0.481,0,0.3,0,0.9,1.5,0.591,0.3,0.4,0.667,0.9,1.1,1.9,0.6,0.2,0.2,0,0.6,2,16.6,0.506,0.185,0.222,14,16.4,15.2,12.4,1.4,2.6,0,12.7,0.2,0.2,0.4,0.194,-0.9,0.4,-0.5,0,2133278,"BOS",250,86
"248","Malachi Flynn","flynnma01","TOR","PG",23,44,5,12.2,1.6,4.2,0.393,0.7,2,0.333,1,2.1,0.452,0.3,0.5,0.625,0.2,1.2,1.4,1.6,0.5,0.1,0.3,1,4.3,11.7,0.488,0.492,0.131,1.9,11.3,6.4,18.5,1.9,0.7,6.3,16.5,0.5,0.5,1,0.092,-1.8,0.4,-1.5,0.1,2145720,"TOR",175,73
"249","Malcolm Brogdon","brogdma01","IND","PG",29,36,36,33.5,6.8,15.1,0.448,1.6,5.2,0.312,5.1,9.9,0.518,4,4.6,0.856,0.9,4.2,5.1,5.9,0.8,0.4,2.1,2,19.1,18,0.557,0.343,0.308,3,14.3,8.6,26.9,1.2,1,11.1,24.6,2.2,0.4,2.7,0.106,2.8,-0.5,2.3,1.3,22600000,"BOS",229,77
"250","Malik Beasley","beaslma01","MIN","SG",25,79,18,25,4.2,10.8,0.391,3,8.1,0.377,1.2,2.7,0.432,0.6,0.8,0.817,0.3,2.5,2.9,1.5,0.5,0.2,0.5,1.1,12.1,11.9,0.544,0.749,0.071,1.4,11.2,6.2,8.5,1,0.6,4.7,19.4,1.7,1.2,2.9,0.069,0.7,-1.5,-0.7,0.7,15458035,"UTA",187,76
"251","Malik Fitts","fittsma01","UTA","PF",24,15,0,4.2,0.5,1.3,0.421,0.3,0.7,0.5,0.2,0.6,0.333,0,0,0,0.1,1,1.1,0.3,0,0,0.1,0.3,1.4,10.7,0.553,0.526,0,3.5,25.2,14.7,12.7,0,0,9.5,14.6,0.1,0.1,0.1,0.097,-0.6,-0.5,-1.1,0,555217,"IND",230,77
"252","Malik Monk","monkma01","LAL","SG",23,76,37,28.1,5.1,10.9,0.473,2.3,5.8,0.391,2.9,5.1,0.568,1.2,1.5,0.795,0.5,2.9,3.4,2.9,0.8,0.4,1.6,1.8,13.8,14.4,0.597,0.535,0.142,1.9,11,6.4,15.2,1.4,1.2,12.2,20.1,2.3,1.4,3.6,0.081,0.5,-1,-0.5,0.8,9472219,"SAC",200,75
"253","Marcus Morris","morrima03","LAC","PF",32,54,54,29,5.6,12.8,0.434,1.9,5.1,0.367,3.7,7.7,0.478,2.4,2.7,0.872,0.5,3.9,4.4,2.1,0.5,0.3,1.3,2.1,15.4,13.7,0.549,0.398,0.214,1.8,14,8.1,11.3,0.9,1,8.4,23.2,0.9,1.5,2.4,0.074,-0.3,-1,-1.4,0.3,16372093,"LAC",218,80
"254","Marcus Smart","smartma01","BOS","PG",27,71,71,32.3,4.2,10.1,0.418,1.7,5.1,0.331,2.5,5,0.506,2,2.5,0.793,0.6,3.2,3.8,5.9,1.7,0.3,2.2,2.3,12.1,13.6,0.54,0.501,0.249,2,10.5,6.4,25.6,2.6,0.7,16.6,18.3,1.9,3.7,5.6,0.116,-1.2,1.7,0.5,1.5,16607142,"BOS",220,76
